"id","answer","description","date_posted","img_url","started","solved","users_with_hints","total_hints","solve_rate","hint_usage","avg_hints","difficulty"
1,"брауни","Коричневая английская Е (читается как и) = Brown E = созвучно с десертом","2025-06-01","/daily-rebuses/1_v1.jpg","454","219","110","179","0.4824","0.2423","0.3943","0.4303"
2,"tralalelo tralala|тралалело тралала|тралалеро тралала|tralalero tralala","Один из самых известных героев мема BrainRot - акула в кроссовках","2025-06-02","/daily-rebuses/2.jpg","339","162","65","90","0.4779","0.1917","0.2655","0.4010"
3,"свитер|свита","Свитер или Свита. Сладкая буква R. (sweet R). R читается как А или как Эр","2025-06-03","/daily-rebuses/3_v1.jpg","276","134","38","56","0.4855","0.1377","0.2029","0.3736"
4,"подоконник","Под О Конь и К","2025-06-04","/daily-rebuses/4.jpg","255","183","19","28","0.7176","0.0745","0.1098","0.2045"
5,"редактор","Красный актер = Red Actor","2025-06-05","/daily-rebuses/5_v1.jpg","311","200","96","158","0.6431","0.3087","0.5080","0.3675"
6,"восемь|8","В О Семь","2025-06-06","/daily-rebuses/6_v1.jpg","308","282","26","43","0.9156","0.0844","0.1396","0.0927"
7,"пеньюар","ЮАР (Южно-Африканская Республика) + пень","2025-06-07","/daily-rebuses/7.jpg","314","266","61","107","0.8471","0.1943","0.3408","0.1914"
8,"рампа","Рамка в виде буквы П. Игра букв","2025-06-08","/daily-rebuses/8.jpg","313","220","103","231","0.7029","0.3291","0.7380","0.3712"
9,"китай|тина","Могло быть 2 ответа. Чай на = China или Tea (ти) на","2025-06-09","/daily-rebuses/9.jpg","299","207","81","160","0.6923","0.2709","0.5351","0.3326"
10,"колорадо","Цветное (color) адо. Один из штатов Америки","2025-06-10","/daily-rebuses/10.jpg","290","216","75","139","0.7448","0.2586","0.4793","0.2897"
11,"каймак","Кай - герой Снежной Королевы и его компьютер Мак (macbook)","2025-06-11","/daily-rebuses/11.jpg","289","220","74","104","0.7612","0.2561","0.3599","0.2612"
12,"кия рио|кийа рио|кийя рио|киа рио|kia rio","Звук каратистов - ки-я, город Рио-Де-Жанейро. Такой вот каламбур","2025-06-12","/daily-rebuses/12.jpg","282","210","98","148","0.7447","0.3475","0.5248","0.3188"
13,"орландо блум","Орлан (ор! лан), нота До, фея Блум из Винкс","2025-06-13","/daily-rebuses/13.jpg","264","231","38","73","0.8750","0.1439","0.2765","0.1525"
14,"лаваш","Love (лав) + Аш","2025-06-14","/daily-rebuses/14.jpg","265","201","101","172","0.7585","0.3811","0.6491","0.3375"
15,"зловещая долина","Доктор Зло + Вещий Олег + Лариса Долина","2025-06-15","/daily-rebuses/15.jpg","282","212","115","247","0.7518","0.4078","0.8759","0.3823"
16,"сомелье","Сом и лье","2025-06-16","/daily-rebuses/16.jpg","265","233","48","89","0.8792","0.1811","0.3358","0.1681"
17,"сантехника","Sun = Сан + техника (стиральная машина)","2025-06-17","/daily-rebuses/17.jpg","274","205","127","285","0.7482","0.4635","1.0401","0.4230"
18,"кенгуру","Кен (друг Барби) + Гуру (духовный наставник)","2025-06-18","/daily-rebuses/18.jpg","257","201","88","169","0.7821","0.3424","0.6576","0.3150"
19,"хогвартс","Хог (hog = кабан) + вар (war = война) + тссс (озвучка эмодзи 🤫)","2025-06-19","/daily-rebuses/19.jpg","259","199","97","186","0.7683","0.3745","0.7181","0.3403"
20,"мини купер","Маленький Брэдли Купер","2025-06-20","/daily-rebuses/20.jpg","265","210","87","138","0.7925","0.3283","0.5208","0.2847"
21,"клубника","Плоды картофеля - клубни. Машина - car","2025-06-21","/daily-rebuses/21.jpg","253","199","107","207","0.7866","0.4229","0.8182","0.3565"
22,"аниме","А ни ме","2025-06-22","/daily-rebuses/22.jpg","244","240","56","69","0.9836","0.2295","0.2828","0.1096"
23,"убил","Оригинал анекдота: Говорю мужу: – Ну и пузо ты отрастил! Ответ убил… – У хорошего хозяина конь под навесом стоять должен!!!","2025-06-23","/daily-rebuses/23.jpg","270","214","125","270","0.7926","0.4630","1.0000","0.3902"
24,"валидол","Wall-e (валли) + кукла (doll)","2025-06-24","/daily-rebuses/24.jpg","268","238","69","106","0.8881","0.2575","0.3955","0.1909"
25,"мимоза","Мимо + за","2025-06-25","/daily-rebuses/25.jpg","262","240","66","110","0.9160","0.2519","0.4198","0.1763"
26,"картинка","Кар (звук вороны) + Тинка (teen = тинейджеры, 13-19 летние дети). Ворона - девочка, так что ""тинка""","2025-06-26","/daily-rebuses/26.jpg","260","223","113","230","0.8577","0.4346","0.8846","0.3267"
27,"табун","Тубу (запрет) + Н (эн)","2025-06-27","/daily-rebuses/27.jpg","247","205","115","225","0.8300","0.4656","0.9109","0.3551"
28,"легенда","Leg (нога) + And (и) + А","2025-06-28","/daily-rebuses/28.jpg","256","213","117","205","0.8320","0.4570","0.8008","0.3352"
29,"друзья|friends","Фамилии главных героев сериала Friends. Буфе (буфет без т), Бинг (поисковик), Трибиани (3 портрета Виталия Бианки без предпоследней буквы), Геллер (Лера Кудрявцева и Валерия, гель их), Грин (зеленый фон)","2025-06-29","/daily-rebuses/29.jpg","258","221","91","166","0.8566","0.3527","0.6434","0.2707"
30,"поздравляю, ботя|поздравляю ботя","Спасибо","2025-06-30","/daily-rebuses/30.jpg","468","462","13","16","0.9872","0.0278","0.0342","0.0198"
31,"фондю","Хромакей - зеленый экран (фон) + Дю","2025-07-01","/daily-rebuses/31.jpg","500","487","134","197","0.9740","0.2680","0.3940","0.1417"
32,"под грифом секретно","Вопрос (секрет) находится под Грифом (птицей)","2025-07-02","/daily-rebuses/32.jpg","479","452","253","532","0.9436","0.5282","1.1106","0.3325"
33,"артишок","Арт (искусство) и Шок (состояние людей)","2025-07-03","/daily-rebuses/33.jpg","470","439","213","415","0.9340","0.4532","0.8830","0.2853"
34,"ташкент","Таш (Арташес Саркисян) + Кент","2025-07-04","/daily-rebuses/34.jpg","452","436","133","210","0.9646","0.2942","0.4646","0.1645"
35,"тенеси|тенесси|теннесси|теннеси","Тен эс (10 s) + Си (английская буква С)","2025-07-05","/daily-rebuses/35.jpg","505","478","230","475","0.9465","0.4554","0.9406","0.2870"
36,"пары ртути","Ртуть разбилась по парам, а мы поменяли ударение","2025-07-06","/daily-rebuses/36.jpg","502","471","257","552","0.9382","0.5120","1.0996","0.3300"
37,"эльбрус","Эль (L) + Брус","2025-07-07","/daily-rebuses/37.jpg","463","451","117","149","0.9741","0.2527","0.3218","0.1270"
38,"амбар","Ам (время до полудня) + Бар","2025-07-08","/daily-rebuses/38.jpg","557","531","301","579","0.9533","0.5404","1.0395","0.3190"
39,"земляника","Земля (планета) + Ника (чья, это Ник Фьюри)","2025-07-09","/daily-rebuses/39.jpg","560","546","201","373","0.9750","0.3589","0.6661","0.2046"
40,"каприз","Капри (штаны) + З","2025-07-10","/daily-rebuses/40.jpg","552","542","241","414","0.9819","0.4366","0.7500","0.2325"
41,"банан","Бан + Ан (самолет)","2025-07-11","/daily-rebuses/41.jpg","550","541","214","314","0.9836","0.3891","0.5709","0.1927"
42,"зебра","The + Бра","2025-07-12","/daily-rebuses/42.jpg","556","527","374","812","0.9478","0.6727","1.4604","0.4185"
43,"бусы","Б + Усы","2025-07-13","/daily-rebuses/43.jpg","574","567","174","329","0.9878","0.3031","0.5732","0.1691"
44,"челнок","Чел (человек) + нок (knock - стук по-английски)","2025-07-14","/daily-rebuses/44.jpg","589","562","380","828","0.9542","0.6452","1.4058","0.3997"
45,"текстура","Текст (написан на листе) + ура","2025-07-15","/daily-rebuses/45.jpg","652","634","418","572","0.9724","0.6411","0.8773","0.3084"
46,"мраморная говядина","Мрамор (материал) + говядина (корова)","2025-07-16","/daily-rebuses/46.jpg","669","651","394","701","0.9731","0.5889","1.0478","0.3206"
47,"донер|донор","До (нота) + Но (no) или Не + Р","2025-07-17","/daily-rebuses/47.jpg","656","650","209","335","0.9909","0.3186","0.5107","0.1617"
48,"выборг","Выбор (решение) + Г (сокращение от говно)","2025-07-18","/daily-rebuses/48.jpg","656","636","445","899","0.9695","0.6784","1.3704","0.3934"
49,"воздушный шар|воздушный шарик","Балу + Н (balloon по-английски)","2025-07-19","/daily-rebuses/49.jpg","680","667","392","804","0.9809","0.5765","1.1824","0.3329"
50,"якудза","Игра слов на созвучии. Якут + За (голосование)","2025-07-20","/daily-rebuses/50.jpg","675","650","389","783","0.9630","0.5763","1.1600","0.3403"
